sentence,label,alpha,id,word_count
issue solve battery change warranty concorde motor thanks kind support,3,a,0,10
let know anything assist would happy help,3,a,1,7
weird noise blower motor take look found filter damage,4,a,2,9
see condition roof rail fit dealer motor car month old rough handle want replacement rail genuine one,3,a,3,17
anyone know replace mirror corolla look like cover mirror inside,4,a,4,10
safety feature like anti skid floor grab handle tooth guard ergonomic childcare seat ensure every journey child take safe comfortable one,3,a,5,21
hello delhi purchase june still get number plate,3,a,6,8
wire suppose hook,4,a,7,3
would really like help kindly elaborate concern also provide contact information dealer detail via relevant team contact assistance,3,a,8,18
glad hear concern resolve customer service satisfaction utmost importance always aim deliver best service customer get back assistance would happy help,3,a,9,21
price differential compare different model,0,a,10,5
please neglect customer specific serious concern take lightly owner across country face unavoidable issue,3,a,11,14
built overcome,3,a,12,2
great hear share picture video journey would glad see,3,a,13,9
official club owner,3,a,14,3
per update receive team understand visit workshop yesterday concern address assistance request get touch surely help,3,a,15,16
center console make loud noise,4,a,16,5
explore amp monastery amp itinerary brotherhood day soul drive,3,a,17,9
star head amp sand toe luxury need,3,a,18,7
want know meaning please explain maintain drive,3,a,19,7
car compare car segment manufacturer,1,a,20,5
definitely experience want please share contact number dealer information via quickly get touch address concern assist,3,a,21,16
vehicle crashed submit repair global submit june till anything,3,a,22,9
available post cap impose government,3,a,23,5
radiator leak,4,a,24,2
gift gift save life occasion let pledge gift life,3,a,25,9
please share contact detail sale team get touch shortly,3,a,26,9
need change oil honda accord drove mile month,4,a,27,8
also make note valuable feedback share team consideration get back need assistance glad help,3,a,28,14
brake allow make smooth abrupt stop,1,a,30,6
jet airway wind kingfisher time come say motor people wipe business service till wait morning,3,a,31,15
explore end end entire family comfort winger,3,a,32,7
hyundai noise problem,4,a,33,3
motor service class customer care poor buy vehicle,3,a,34,8
pontiac get issue,4,a,35,3
amount cost tow help,2,a,36,4
impressed customer lounge offering cold water bottle snack tea coffee newspaper magazine kudos management proud owner,3,a,37,16
electric car battery charge option,1,a,38,5
send assistant replace battery,2,a,39,4
short turn circle high maneuverability ultra leta india ultra,3,a,40,9
make available platform early,3,a,41,4
spacious cabin ultra ensures absolute comfort driver gearbox mount dashboard make walk cabin ample sleep seat space way adjustable seat take care fatigue,3,a,42,23
take concern team diligently work soon update progress rest assure resolve early,3,a,43,12
strange employee ready share estimate customer day share estimate post escalation kindly take require action,3,a,44,15
mazda try replace axle end dump half transmission fluid ground put back top fluid,4,a,45,14
thank write per company policy cannot disclose information pertain future product strategy stay tune website social medium page catch late update,3,a,46,21
reliability associate slowly diminish car release whose maintenance high compare brand please hurt well establish brand image built year hard work callous approach,3,a,47,23
sorry face would like help please share contact detail car chassis number vehicle model via help get touch address concern,3,a,48,20
extra load body load business profit know click,3,a,49,8
fixable damage like,4,a,50,3
